x_m,y_m,z_m,pressure_Pa,temperature_K
0.338015711,0.283420608,0.00150000001,187.105236,319.529468
0.336641272,0.284695281,0.00350000011,193.927967,319.079574
0.337363416,0.291390007,0.00150000001,185.547874,320.29574
0.338087384,0.280000001,0.00335756748,187.027701,319.215995
0.336243778,0.281224007,0.00350000011,191.843268,319.108568
0.335539794,0.291999996,0.00233339414,190.027677,320.364098
0.33439001,0.28290414,0.00350000011,194.692205,319.072334
0.335012095,0.291999996,0.00166668943,189.492777,320.388172
0.332933064,0.284741958,0.00150000001,200.057741,319.600052
0.333051207,0.28429139,0.00350000011,195.639615,319.085078
0.334120688,0.282135816,0.00350000011,195.445521,319.075586
0.335160739,0.280000001,0.00299705918,194.772727,319.217203
0.335541464,0.280000001,0.00163805728,193.148296,319.311711
0.331606892,0.287708176,0.00150000001,196.636825,319.88086
0.334308126,0.280000001,0.00204072887,197.176291,319.260975
0.331337919,0.289099135,0.00150000001,199.179952,320.023607
0.330025075,0.287205584,0.00350000011,199.553345,319.264276
0.332357911,0.280000001,0.00220045422,197.42799,319.229519
0.330414303,0.283326325,0.00350000011,197.706308,319.041601
0.330686098,0.281969996,0.00350000011,199.431107,319.043383
0.330157795,0.28257093,0.00350000011,199.444235,319.032525
0.328563039,0.284339881,0.00350000011,200.506245,319.033145
0.33002518,0.282441081,0.00150000001,198.122985,319.450723
0.328975345,0.283057836,0.00150000001,197.865093,319.479723
0.328450334,0.289866877,0.00150000001,204.348615,320.096025
0.329261072,0.291999996,0.00225891086,203.265581,320.352658
0.327662508,0.287242378,0.00150000001,206.09757,319.795719
0.328187668,0.281675512,0.00150000001,199.883987,319.359086
0.324755172,0.285224335,0.00150000001,199.477222,319.554445
0.326875631,0.291697232,0.00350000011,210.659815,320.050527
0.32425869,0.288031415,0.00150000001,214.213393,319.837522
0.323991552,0.281973546,0.00150000001,186.624084,319.288418
0.322692953,0.28988407,0.00350000011,217.578263,319.626883
0.322687576,0.283941045,0.00150000001,189.787434,319.404274
0.325094508,0.280000001,0.00249613324,174.056104,319.050678
0.322168011,0.290788783,0.00150000001,219.55709,320.181424
0.32427759,0.280000001,0.00244046294,172.380288,319.031961
0.323073972,0.280602036,0.00350000011,172.111579,318.887284
0.320870489,0.290330861,0.00150000001,222.883839,320.12282
0.322163013,0.291394264,0.00350000011,219.618036,319.963836
