x_m,y_m,z_m,temperature_K
0.339949558,0.28987288,0.00499999989,319.732682
0.338532411,0.289339283,0.00499999989,319.58999
0.338989963,0.287158192,0.00499999989,319.326311
0.334570089,0.288783026,0.00499999989,319.548519
0.332160692,0.290739861,0.00499999989,319.862098
0.336796763,0.30901018,0.00499999989,321.373002
0.337391082,0.308712378,0.00499999989,321.373002
0.33944451,0.287246956,0.00499999989,319.296908
0.333759233,0.276040056,0.00499999989,319.218002
0.335635229,0.272577786,0.00499999989,319.192249
0.336411628,0.286891815,0.00499999989,319.272455
0.331744778,0.289906836,0.00499999989,319.685596
0.33776491,0.281771735,0.00499999989,319.104951
0.332795614,0.288484116,0.00499999989,319.45807
0.323429962,0.30576168,0.00499999989,321.303633
0.333880425,0.287045198,0.00499999989,319.302822
0.339040085,0.285149481,0.00499999989,319.142424
0.324461716,0.293300415,0.00499999989,320.365022
0.321703374,0.296360166,0.00499999989,320.712898
0.329102419,0.274793256,0.00499999989,319.089
0.337220418,0.283241375,0.00499999989,319.087335
0.336463245,0.265807072,0.00499999989,318.982932
0.336836584,0.265175798,0.00499999989,318.982932
0.330028116,0.280336755,0.00499999989,319.090488
0.331151207,0.286531805,0.00499999989,319.233733
0.330471132,0.267147774,0.00499999989,318.851557
0.335049278,0.284534663,0.00499999989,319.116632
0.318329437,0.306481253,0.00499999989,321.324575
0.331196616,0.283258802,0.00499999989,319.070969
0.33098916,0.284564491,0.00499999989,319.104905
0.327742206,0.287543226,0.00499999989,319.327049
0.326460026,0.280057569,0.00499999989,319.016483
0.326827666,0.281540553,0.00499999989,318.999117
0.324625666,0.289230755,0.00499999989,319.523843
0.327624151,0.261146912,0.00499999989,318.406852
0.327544669,0.261509018,0.00499999989,318.406852
0.318329018,0.27504501,0.00499999989,318.700603
0.337684764,0.255031981,0.00499999989,318.470482
0.322055661,0.28934088,0.00499999989,319.538348
0.310012324,0.301045404,0.00499999989,321.093971
0.309176341,0.298162147,0.00499999989,320.883
0.316406106,0.291640823,0.00499999989,320.072976
0.326847193,0.285000148,0.00499999989,319.058461
0.319266093,0.26769677,0.00499999989,318.239748
0.323993912,0.259762513,0.00499999989,317.983443
0.326440824,0.283833301,0.00499999989,319.007735
0.313022701,0.292399767,0.00499999989,320.30556
0.337270354,0.252042514,0.00499999989,318.333145
0.324688418,0.283190135,0.00499999989,318.95185
0.320382471,0.288598369,0.00499999989,319.434654
0.316011866,0.276250529,0.00499999989,318.574821
0.317283553,0.277974325,0.00499999989,318.708209
0.318215991,0.278853734,0.00499999989,318.742324
0.305941567,0.304287504,0.00499999989,321.219323
0.324475357,0.284999887,0.00499999989,319.019358
0.318034122,0.261733509,0.00499999989,317.497973
0.320333901,0.259474123,0.00499999989,317.530365
0.318485061,0.279551106,0.00499999989,318.761792
0.32264802,0.257604653,0.00499999989,317.594128
0.327053403,0.252435941,0.00499999989,317.781168
0.320834006,0.28709069,0.00499999989,319.195951
0.319067396,0.288147022,0.00499999989,319.320287
0.316515887,0.28941795,0.00499999989,319.591205
0.313535585,0.26537087,0.00499999989,317.481304
0.319380044,0.280460317,0.00499999989,318.773207
0.322922714,0.282896555,0.00499999989,318.894344
0.322426214,0.282559291,0.00499999989,318.878615
0.303160429,0.305132582,0.00499999989,321.22295
0.313128184,0.276374182,0.00499999989,318.442381
0.318983437,0.281052839,0.00499999989,318.762187
0.318537227,0.280930144,0.00499999989,318.743852
0.331306354,0.248896805,0.00499999989,317.900179
0.32348054,0.254513814,0.00499999989,317.472902
0.314983722,0.278700245,0.00499999989,318.604115
0.330434144,0.24825083,0.00499999989,317.784957
0.321041555,0.256966321,0.00499999989,317.276626
0.322314778,0.254429544,0.00499999989,317.327292
0.320143775,0.257574907,0.00499999989,317.151875
0.319933871,0.285225672,0.00499999989,318.970275
0.320203008,0.285362499,0.00499999989,318.970275
0.310327916,0.290223134,0.00499999989,319.966175
0.312025338,0.289147844,0.00499999989,319.665399
0.315836065,0.260731088,0.00499999989,317.001516
0.311009694,0.265691251,0.00499999989,317.388569
0.315749925,0.27986302,0.00499999989,318.646259
0.312420313,0.26294983,0.00499999989,317.049509
0.331000585,0.24507359,0.00499999989,317.725531
0.298640845,0.296048808,0.00499999989,320.647116
0.308922328,0.289175536,0.00499999989,319.86789
0.314354094,0.279465066,0.00499999989,318.576494
0.310312607,0.276301016,0.00499999989,318.296739
0.311529746,0.277987448,0.00499999989,318.433977
0.311899951,0.278360112,0.00499999989,318.460981
0.3188648,0.28290582,0.00499999989,318.787655
0.32314644,0.248796771,0.00499999989,317.079255
0.319981299,0.255601493,0.00499999989,316.907128
0.302998241,0.28968295,0.00499999989,320.079167
0.297916551,0.294292622,0.00499999989,320.55245
0.30913627,0.288651796,0.00499999989,319.759215
0.314314283,0.260615317,0.00499999989,316.822286
0.309718718,0.265212952,0.00499999989,317.188103
0.307864792,0.275051357,0.00499999989,318.13059
0.311107713,0.278053646,0.00499999989,318.413612
0.320203988,0.254689755,0.00499999989,316.827587
